Duroc,2.316480,48.846800
Ecole Militaire,2.305490,48.854480
Ecole Veterinaire Maisons Alfort,2.421740,48.815130
Edgar Quinet,2.326820,48.840440
Eglise d'Auteuil,2.269990,48.847970
Eglise de Pantin,2.412920,48.893650
Egly,2.222090,48.582410
Emerainville Pontault Combault,2.617570,48.806360
Epinay sur Orge,2.331960,48.669440
Epinay sur Seine,2.302200,48.953710
Ermont Eaubonne,2.271410,48.980580
Escadrille Normandie Niemen,2.435470,48.912700
Esplanade de La Defense,2.249950,48.888370
Etampes,2.158920,48.436890
Etienne Marcel,2.349140,48.863920
Etoile Charles de Gaulle,2.295010,48.873940
Etrechy,2.200870,48.500160
Europe,2.322380,48.878780
Evry,2.452190,48.634570
Evry Courcouronnnnes,2.428960,48.625790
Exelmans,2.259550,48.842440
Faidherbe Chaligny,2.383510,48.850130
Falguiere,2.317610,48.844430
Felix Faure,2.291710,48.842770
Filles du Calvaire,2.366600,48.863070
Fontaine Michalon,2.295800,48.743030
Fontenay aux Roses,2.293170,48.787460
Fontenay sous Bois,2.464710,48.843350
Fort d'Aubervilliers,2.404110,48.914590
Franconville Le Plessis Bouchard,2.235020,48.993450
Franklin Roosevelt,2.309820,48.868810
Gabriel Peri,2.294390,48.916580
Gagny,2.526900,48.883180
Gaite,2.322540,48.838830
Gallieni,2.415810,48.863170
Gambetta,2.398440,48.864970
Gare d'Austerlitz,2.364610,48.842720
Gare de l'Est,2.358500,48.876320
Gare de Lyon,2.373760,48.844680
Gare du Nord,2.354870,48.880610
Garges Sarcelles,2.390300,48.976660
Garibaldi,2.331910,48.906450
Gaston Roulaud,2.431310,48.914090
Gennevilliers,2.307570,48.933480
Gentilly,2.340820,48.815720
Georges Brassens,2.294990,48.829940
George V,2.300570,48.872030
Gif sur Yvette,2.136760,48.698110
Goncourt,2.370920,48.870050
Goussainville,2.463470,49.023860
Grand Bourg,2.436030,48.648020
Grands Boulevards,2.343400,48.871550
Gravigny Balizy,2.317890,48.685340
Gretz Armainvilliers,2.728630,48.745320
Grigny Centre,2.395750,48.653280
Guy Moquet,2.327260,48.892820
Haussmann St Lazare,2.329020,48.875160
Havre Caumartin,2.328720,48.873570
Hoche,2.402760,48.891390
Hopital avicenne,2.425040,48.915840
Hopital Delafontaine,2.371260,48.933540
Hotel de Ville,2.351610,48.857550
Hotel de ville de Bobigny,2.443790,48.906680
Hotel de ville de La Courneuve,2.392230,48.927460
Houilles Carrieres sur Seine,2.184560,48.920670
Iena,2.293880,48.864840
Igny,2.230930,48.740140
Invalides,2.313290,48.862970
Issy,2.258760,48.819740
Issy Val de Seine,2.262930,48.829460
Ivry sur Seine,2.391250,48.814360
Jacques Bonsergent,2.360510,48.871140
Jacques Henri Lartigue,2.258310,48.823110
Jasmin,2.268040,48.852470
Jaures,2.370660,48.882950
Javel,2.276950,48.846380
Javel Andre Citroen,2.278610,48.846390
Jean Moulin,2.319610,48.824540
Joinville le Pont,2.463860,48.821060
Jourdain,2.389510,48.875300
Jouy en josas,2.163160,48.764750
Jules Joffrin,2.344440,48.892420
Jussieu,2.354660,48.845990
Juvisy sur Orge,2.382760,48.689810
Kleber,2.293350,48.871490
La Borne Blanche,2.490040,49.138760
La Chapelle,2.360410,48.884420
La Courneuve 6 Routes,2.384530,48.930120
La Courneuve 8 Mai 1945,2.410760,48.920740
La Courneuve Aubervilliers,2.384540,48.924090
La Croix Berny,2.304570,48.762140
La Defense,2.236840,48.892520
La Ferme,2.437300,48.909840
La ferte Alais,2.351870,48.484860
La Fourche,2.325600,48.887490
La Hacquiniere,2.152620,48.695000
Lamarck Caulaincourt,2.338850,48.889710
La Mee sur Seine,2.624300,48.539680
La Motte Picquet Grenelle,2.298250,48.849060
La Muette,2.274380,48.857950
La Norville St Germain Les Arpajon,2.267390,48.591650
Laplace,2.333310,48.807580
La Plaine Stade de France,2.361640,48.917500
Lardy,2.249640,48.518850
La Tour Maubourg,2.310530,48.857680
Laumiere,2.379370,48.885340
La Varenne Chevrieres,2.512970,48.794960
Le Blanc Mesnil,2.476750,48.932220
Le Bourget,2.425760,48.930730
Le Bras de Fer,2.450620,48.623310
Le Chenay Gagny,2.553060,48.877350
Ledru Rollin,2.376100,48.851280
Le Guichet,2.191620,48.704820
Le Kremlin Bicetre,2.361700,48.810570
Le Parc de St Maur,2.485840,48.805080
Le Peletier,2.340430,48.874970
Le Raincy Villemomble Montfermeil,2.512020,48.889240
Les Agnettes,2.286180,48.923110
Les Ardoines,2.409550,48.782730
Les Baconnets,2.287560,48.739610
Les Boullereaux Champigny,2.511040,48.824910
Les Coteaux,2.220440,48.856920
Les Gobelins,2.351770,48.837010
Les Gresillions,2.314170,48.920190
Les Halles,2.346050,48.862580
Les Milons,2.221150,48.849860
Les Moulineaux,2.251070,48.821390
Les Noux,2.476520,49.032300
Les Sablons,2.271600,48.881410
Les Saules,2.417610,48.745390
Les Yvris Noisy le Grand,2.579570,48.823280
Le Vert de Maisons,2.432230,48.788460
Le Vesinet Centre,2.134520,48.890120
Le Vesinet Le Pecq,2.121820,48.898270
Liberation,2.438640,48.906910
Liberte,2.407300,48.825730
Liege,2.326980,48.879680
Lieusaint Moissy,2.569450,48.628360
Lognes,2.634130,48.839000
Longjumeau,2.294270,48.702230
Louis Blanc,2.365170,48.881230
Louise Michel,2.288070,48.889300
Lourmel,2.281720,48.838620
Louvre Rivoli,2.340720,48.860900
Louvres,2.501970,49.049350
Lozere,2.211580,48.706050
Luxembourg,2.340370,48.846710
Mabillon,2.335430,48.852970
Madeleine,2.324460,48.869780
Magenta,2.358260,48.880160
Mairie de Clichy,2.305530,48.903940
Mairie de Montreuil,2.442000,48.862260
Mairie des Lilas,2.416280,48.879850
Mairie de St Ouen,2.333840,48.912040
Mairie d'Issy,2.273170,48.824270
Mairie d'Ivry,2.383380,48.811160
Maison Blanche,2.358530,48.822170
Maisons Alfort Alfortville,2.426640,48.801780
Maisons Alfort Les Juilliottes,2.446210,48.802570
Maisons Alfort Stade,2.436160,48.808220
Maisons Laffitte,2.144190,48.946100
